lot,total_trades,win_rate,profit_factor,final_balance,total_return_pct,max_dd_pct,positive_months,months
0.01,523,70.75,2.193,271570.0,171.57,3.96,35,39
0.1,521,70.83,2.1937,1814530.0,1714.53,23.4,35,39
