entry_time,exit_time,side,entry_price,exit_price,pnl_usd,pnl_jpy,balance,duration_min,exit_reason,k4h_at_entry,k1h_at_entry,k5m_at_entry
2023-02-10 11:25:00,2023-02-10 16:00:00,long,1862.6499999999999,1867.19,44.4,6660.0,195700.0,275.0,5M_DC,30.824659727700023,52.588142395509635,78.84522076547164
2023-02-16 10:50:00,2023-02-16 12:40:00,long,1838.07,1838.16,-0.1,-15.0,195685.0,110.0,5M_DC,16.425886051070503,27.358490565780055,87.15522314769375
2023-02-17 12:50:00,2023-02-17 13:40:00,long,1823.25,1824.25,9.0,1350.0,197035.0,50.0,5M_DC,25.200398055427016,47.25666916996314,76.92696510507125
2023-02-21 13:35:00,2023-02-21 14:25:00,short,1834.7800000000002,1830.97,37.1,5565.0,202600.0,50.0,5M_GC,30.10546080728622,24.72539991034381,10.891123875479474
2023-02-22 17:55:00,2023-02-22 18:55:00,short,1835.94,1833.1,27.4,4110.0,206710.0,60.0,5M_GC,33.20977648226384,23.976178917640738,8.831593302986619
2023-02-22 19:55:00,2023-02-22 21:45:00,short,1833.1000000000001,1827.64,53.6,8040.0,214750.0,110.0,5M_GC,26.461725462230252,8.007429967213083,19.52834589950776
2023-02-24 04:50:00,2023-02-24 10:45:00,long,1824.77,1824.27,-6.0,-900.0,213850.0,355.0,5M_DC,36.09682709131486,26.894909214281835,84.27258343075209
2023-03-02 16:40:00,2023-03-02 19:20:00,short,1835.0,1834.72,1.8,270.0,214120.0,160.0,5M_GC,32.10480421252705,61.071375539670356,13.759683445520162
2023-03-07 07:45:00,2023-03-07 10:20:00,short,1848.68,1846.79,17.9,2685.0,216805.0,155.0,5M_GC,24.04660778484133,43.851191759672986,14.301897200989098
2023-03-09 06:25:00,2023-03-09 07:05:00,long,1813.27,1814.93,15.6,2340.0,219145.0,40.0,5M_DC,20.62720440962974,54.657933041016655,88.85045700625274
2023-03-09 08:40:00,2023-03-09 09:50:00,long,1813.6599999999999,1814.61,8.5,1275.0,220420.0,70.0,5M_DC,33.63539457944885,55.24017467127999,78.36257309666594
2023-03-09 12:10:00,2023-03-09 13:15:00,long,1817.57,1819.54,18.7,2805.0,223225.0,65.0,5M_DC,62.90341248907314,78.33739347594165,92.03263563234417
2023-03-13 09:45:00,2023-03-13 10:50:00,short,1874.45,1885.35,-110.0,-16500.0,206725.0,65.0,SL_or_BE,77.5161623201521,37.74681322373243,91.75994863545634
