ym,count,pnl,win_rate,gross_win,gross_loss,max_dd_pct_month,long_count,long_pnl,short_count,short_pnl
2023-01,34,390.6,73.52941176470588,955.2,-564.6,0.4586808036694377,2.0,9.749999999999996,32.0,380.84999999999997
2023-02,28,78.89999999999998,64.28571428571429,953.5499999999998,-874.6500000000001,0.4150648756446564,18.0,-113.1,10.0,191.99999999999994
2023-03,56,1449.45,76.78571428571429,2031.1499999999999,-581.6999999999999,0.1877473748228163,17.0,569.85,39.0,879.6
2023-04,30,370.95,73.33333333333333,623.9999999999999,-253.05,0.11577195523680825,16.0,218.39999999999998,14.0,152.54999999999998
2023-05,39,274.35,61.53846153846154,925.2,-650.8499999999999,0.16262736464766223,19.0,-21.899999999999977,20.0,296.25
2023-06,41,422.55,65.85365853658537,747.75,-325.2,0.1795584408512312,26.0,124.35,15.0,298.2
2023-07,41,-110.25000000000003,56.09756097560976,936.75,-1047.0,0.49959916781910685,15.0,41.400000000000006,26.0,-151.65000000000003
2023-08,39,312.45,71.7948717948718,607.5000000000001,-295.04999999999995,0.14338437590676667,23.0,150.6,16.0,161.85
2023-09,37,-383.40000000000003,54.054054054054056,553.35,-936.75,0.5528873246590166,24.0,-387.0,13.0,3.5999999999999908
2023-10,30,422.55,63.33333333333333,853.6500000000001,-431.1000000000001,0.2315535340487317,13.0,-8.100000000000007,17.0,430.65
2023-11,34,765.6,67.64705882352942,1268.5499999999997,-502.95,0.11190367501512517,15.0,352.95000000000005,19.0,412.65
2023-12,32,1348.5,81.25,1595.9999999999998,-247.5,0.09053211327339691,20.0,590.1,12.0,758.4
2024-01,19,-12.14999999999996,78.94736842105263,474.6,-486.75,0.440285533163524,19.0,-12.14999999999996,0.0,0.0
2024-02,37,-59.69999999999999,56.75675675675676,342.59999999999997,-402.3,0.1664669095396939,15.0,-90.29999999999998,22.0,30.599999999999994
2024-03,29,-313.2,55.172413793103445,393.0,-706.1999999999999,0.5000087820777201,11.0,-157.65,18.0,-155.55
2024-04,37,407.25,70.27027027027027,1883.8500000000001,-1476.6000000000001,0.7204324874774591,14.0,415.65,23.0,-8.399999999999963
2024-05,32,750.6,71.875,1136.1000000000001,-385.5,0.1829425173857016,15.0,389.25,17.0,361.35
2024-06,4,48.0,100.0,48.0,0.0,0.0,3.0,30.0,1.0,18.0
2024-07,31,42.0,58.06451612903226,984.3,-942.3,0.30689157298054576,6.0,118.35000000000002,25.0,-76.35000000000002
2024-08,33,1674.45,72.72727272727273,2314.6499999999996,-640.1999999999999,0.5661901580772495,1.0,17.85,32.0,1656.6
2024-09,34,1080.75,70.58823529411765,1412.55,-331.8,0.11046202081662719,6.0,197.55,28.0,883.2
2024-10,32,682.65,65.625,1303.6499999999999,-621.0,0.37035587654985863,10.0,302.25,22.0,380.4
2024-11,41,907.9499999999999,78.04878048780488,2250.75,-1342.8,0.4073626625978836,30.0,950.25,11.0,-42.300000000000026
2024-12,27,204.3,66.66666666666666,802.65,-598.3499999999999,0.30447527088213777,10.0,227.10000000000002,17.0,-22.79999999999999
2025-01,30,359.85,73.33333333333333,1163.4,-803.55,0.3214146383826532,6.0,143.1,24.0,216.75
2025-02,29,38.85000000000002,55.172413793103445,1137.3,-1098.45,0.4937980830602023,6.0,83.1,23.0,-44.24999999999997
2025-03,37,-142.35000000000002,56.75675675675676,1266.6,-1408.95,0.33250480217378847,1.0,12.15,36.0,-154.5
2025-04,37,1823.4,70.27027027027027,4223.85,-2400.45,0.7841904778015142,11.0,755.7,26.0,1067.7
2025-05,29,935.7,68.96551724137932,2130.8999999999996,-1195.2,0.42023620721577826,12.0,729.3,17.0,206.40000000000003
2025-06,32,602.55,71.875,1488.0,-885.45,0.3794538676046143,20.0,545.55,12.0,56.99999999999999
2025-07,51,1985.8500000000001,70.58823529411765,2981.2500000000005,-995.4000000000001,0.36632979111212843,15.0,369.45,36.0,1616.4
2025-08,29,762.75,79.3103448275862,1125.3000000000002,-362.54999999999995,0.15554349015727925,9.0,390.15,20.0,372.6
2025-09,29,-619.9499999999999,65.51724137931035,1653.75,-2273.7,1.025453905972238,0.0,0.0,29.0,-619.9499999999999
2025-10,38,1654.35,57.89473684210527,6520.049999999999,-4865.7,2.805339497887496,9.0,1680.45,29.0,-26.10000000000008
2025-11,40,-699.1499999999999,65.0,4008.2999999999997,-4707.45,1.9603809645853363,8.0,45.45000000000002,32.0,-744.5999999999999
2025-12,35,3378.0,74.28571428571429,5727.900000000001,-2349.8999999999996,1.0883442473024507,10.0,1990.0500000000002,25.0,1387.95
2026-01,31,6198.0,77.41935483870968,10170.3,-3972.3,2.1857019771595656,1.0,136.35,30.0,6061.65
2026-02,37,1591.3500000000001,75.67567567567568,6667.8,-5076.45,1.8460681098602507,6.0,2299.2000000000003,31.0,-707.8499999999999
