scenario,lot,l2_tr,l2_wr,l2_bal,l2_ret,l3_tr,l3_wr,l3_bal,l3_ret,l3_dd
A_100k_0.01,0.01,1281,68.1,128624.35,28.624350000000003,497,66.8,114424.0,14.424000000000001,0.9768566904993016
B_100k_0.10,0.1,1281,68.1,386243.5,286.2435,497,66.8,244240.0,144.23999999999998,4.59632647936089
C_100k_0.05,0.05,1281,68.1,243121.75,143.12175,497,66.8,172120.0,72.11999999999999,3.2559007642158586
D_100k_0.50,0.5,1275,68.0,1517890.0,1417.89,497,66.8,821200.0,721.1999999999999,11.213715138073836
E_100k_1.00,1.0,1271,68.1,2791855.0,2691.855,497,66.8,1542400.0,1442.3999999999999,19.285818963411653
