ym,count,pnl,win_rate,gross_win,gross_loss,max_dd_pct_month,long_count,long_pnl,short_count,short_pnl
2023-01,33,71385.0,75.75757575757575,95520.0,-24135.0,11.358713762079308,2.0,975.0,31.0,70410.0
2023-02,22,-18765.0,59.09090909090909,64395.0,-83160.0,26.51537531892037,16.0,-7755.0,6.0,-11010.0
2023-03,56,144945.0,76.78571428571429,203115.0,-58170.0,8.363547280744733,17.0,56985.0,39.0,87960.0
2023-04,30,37095.0,73.33333333333333,62400.0,-25305.0,3.903253537891813,16.0,21840.0,14.0,15255.0
2023-05,39,27435.0,61.53846153846154,92520.0,-65085.0,4.494306404285676,19.0,-2190.0,20.0,29625.0
2023-06,41,42255.0,65.85365853658537,74775.0,-32520.0,4.74398170747373,26.0,12435.0,15.0,29820.0
2023-07,41,-11025.0,56.09756097560976,93675.0,-104700.0,12.050613980768556,15.0,4140.0,26.0,-15165.0
2023-08,39,31245.0,71.7948717948718,60750.0,-29505.0,3.602428439069586,23.0,15060.0,16.0,16185.0
2023-09,37,-38340.0,54.054054054054056,55335.0,-93675.0,12.92065609350802,24.0,-38700.0,13.0,360.0
2023-10,30,42255.0,63.33333333333333,85365.0,-43110.0,6.163425937912643,13.0,-810.0,17.0,43065.0
2023-11,34,76560.0,67.64705882352942,126855.0,-50295.0,2.481487822625519,15.0,35295.0,19.0,41265.0
2023-12,32,134850.0,81.25,159600.0,-24750.0,1.7372760614389058,20.0,59010.0,12.0,75840.0
2024-01,19,-1215.0,78.94736842105263,47460.0,-48675.0,7.213713752623804,19.0,-1215.0,0.0,0.0
2024-02,37,-5970.0,56.75675675675676,34260.0,-40230.0,2.742865187433032,15.0,-9030.0,22.0,3060.0
2024-03,29,-31320.0,55.172413793103445,39300.0,-70620.0,8.248431834733784,11.0,-15765.0,18.0,-15555.0
2024-04,37,40725.0,70.27027027027027,188385.0,-147660.0,11.987102484668394,14.0,41565.0,23.0,-840.0
2024-05,32,75060.0,71.875,113610.0,-38550.0,2.9331550599013925,15.0,38925.0,17.0,36135.0
2024-06,4,4800.0,100.0,4800.0,0.0,0.0,3.0,3000.0,1.0,1800.0
2024-07,31,4200.0,58.06451612903226,98430.0,-94230.0,4.4854372940132246,6.0,11835.0,25.0,-7635.0
2024-08,33,167445.0,72.72727272727273,231465.0,-64020.0,7.9011456628477905,1.0,1785.0,32.0,165660.0
2024-09,34,108075.0,70.58823529411765,141255.0,-33180.0,1.305181922027951,6.0,19755.0,28.0,88320.0
2024-10,32,68265.0,65.625,130365.0,-62100.0,3.7206857142857146,10.0,30225.0,22.0,38040.0
2024-11,41,90795.0,78.04878048780488,225075.0,-134280.0,3.9968652037617556,30.0,95025.0,11.0,-4230.0
2024-12,27,20430.0,66.66666666666666,80265.0,-59835.0,2.8998367441880504,10.0,22710.0,17.0,-2280.0
2025-01,30,35985.0,73.33333333333333,116340.0,-80355.0,2.93350636763492,6.0,14310.0,24.0,21675.0
2025-02,29,3885.0,55.172413793103445,113730.0,-109845.0,4.467124791607368,6.0,8310.0,23.0,-4425.0
2025-03,37,-14235.0,56.75675675675676,126660.0,-140895.0,2.9774370806886656,1.0,1215.0,36.0,-15450.0
2025-04,37,182340.0,70.27027027027027,422385.0,-240045.0,6.58475593117704,11.0,75570.0,26.0,106770.0
2025-05,29,93570.0,68.96551724137932,213090.0,-119520.0,3.346859196120318,12.0,72930.0,17.0,20640.0
2025-06,32,60255.0,71.875,148800.0,-88545.0,2.7897705204297485,20.0,54555.0,12.0,5700.0
2025-07,51,198585.0,70.58823529411765,298125.0,-99540.0,2.692072006750232,15.0,36945.0,36.0,161640.0
2025-08,29,76275.0,79.3103448275862,112530.0,-36255.0,1.032393335023602,9.0,39015.0,20.0,37260.0
2025-09,29,-61995.0,65.51724137931035,165375.0,-227370.0,6.432265507805527,0.0,0.0,29.0,-61995.0
2025-10,35,-10815.0,57.14285714285714,474480.0,-485295.0,18.203200843203064,9.0,168045.0,26.0,-178860.0
2025-11,40,-69915.0,65.0,400830.0,-470745.0,12.984047038064872,8.0,4545.0,32.0,-74460.0
2025-12,35,337800.0,74.28571428571429,572790.0,-234990.0,6.735676543254404,10.0,199005.0,25.0,138795.0
2026-01,31,619800.0,77.41935483870968,1017030.0,-397230.0,11.653003466696488,1.0,13635.0,30.0,606165.0
2026-02,37,159135.0,75.67567567567568,666780.0,-507645.0,8.62734655838104,6.0,229920.0,31.0,-70785.0
