entry_time,exit_time,side,entry_price,exit_price,pnl_usd,pnl_jpy,balance,duration_min,exit_reason,k4h_at_entry,k1h_at_entry,k5m_at_entry
2023-01-27 01:45:00,2023-01-27 03:30:00,short,1930.49,1931.5,-0.131,-19.65,100224.1,105.0,5M_GC,32.86446407142225,71.50565069116693,16.486681065157153
2023-01-30 21:45:00,2023-01-31 05:25:00,short,1923.17,1923.68,-0.081,-12.15,100211.95,460.0,5M_GC,28.29759272388758,47.091261664546,14.99999999942159
2023-02-02 12:00:00,2023-02-02 13:00:00,short,1956.3600000000001,1952.67,0.339,50.85,100262.8,60.0,5M_GC,79.73593594403367,39.811611390094136,23.57656554074173
2023-02-02 13:45:00,2023-02-02 16:00:00,short,1954.53,1945.05,0.918,137.7,100400.5,135.0,5M_GC,50.930585879061034,11.030413234704374,16.642445830064272
2023-02-07 15:35:00,2023-02-07 16:10:00,long,1867.36,1869.87,0.221,33.15,100433.65,35.0,5M_DC,60.96874668741572,38.40188707030252,92.24592256076754
2023-02-07 19:10:00,2023-02-07 20:45:00,long,1875.22,1865.22,-1.03,-154.5,100279.15,95.0,SL_or_BE,56.52882017919732,54.678067896183315,8.064928185568093
2023-02-10 08:50:00,2023-02-10 09:45:00,long,1858.54,1864.99,0.615,92.25,100371.4,55.0,5M_DC,20.153201631348868,68.1240420691495,88.39444590496925
2023-02-10 11:25:00,2023-02-10 16:00:00,long,1862.74,1867.08,0.404,60.6,100432.0,275.0,5M_DC,30.81710678394916,52.605183976968135,78.84522076547013
2023-02-16 10:50:00,2023-02-16 12:40:00,long,1838.1599999999999,1838.06,-0.04,-6.0,100426.0,110.0,5M_DC,16.427917007930525,27.452830188419966,86.96421768839922
2023-02-17 12:50:00,2023-02-17 13:40:00,long,1823.34,1824.14,0.05,7.5,100433.5,50.0,5M_DC,25.1368687549253,47.13728625766854,76.62038529691227
2023-02-21 13:35:00,2023-02-21 14:25:00,short,1834.48,1830.86,0.332,49.8,100483.3,50.0,5M_GC,30.145074917859898,24.725399910343185,11.273994622581776
2023-02-22 17:55:00,2023-02-22 18:55:00,short,1835.63,1832.99,0.234,35.1,100518.4,60.0,5M_GC,33.20977648226381,23.976178917640155,8.884062032638532
2023-02-22 19:55:00,2023-02-22 21:45:00,short,1832.79,1827.53,0.496,74.4,100592.8,110.0,5M_GC,26.46172546223004,8.549272230906192,19.528345899507524
2023-02-24 04:50:00,2023-02-24 10:45:00,long,1824.86,1824.17,-0.099,-14.85,100577.95,355.0,5M_DC,35.983747608572735,26.89490921428141,84.23681256867921
2023-02-27 12:05:00,2023-02-27 13:05:00,long,1809.22,1811.5,0.198,29.7,100607.65,60.0,5M_DC,20.003140210299517,49.21909595631757,85.03876053667493
2023-03-02 16:40:00,2023-03-02 19:20:00,short,1834.68,1834.6,-0.022,-3.3,100604.35,160.0,5M_GC,32.132474894132336,61.221197271829986,13.809032286491075
2023-03-07 07:45:00,2023-03-07 10:20:00,short,1848.3600000000001,1846.67,0.139,20.85,100625.2,155.0,5M_GC,24.13627377901192,43.85119175967234,14.301897200990213
2023-03-09 06:25:00,2023-03-09 07:05:00,long,1813.35,1814.81,0.116,17.4,100642.6,40.0,5M_DC,20.627204409630277,54.65793304101991,88.85045700625083
2023-03-09 08:40:00,2023-03-09 09:50:00,long,1813.74,1814.49,0.045,6.75,100649.35,70.0,5M_DC,33.63539457944966,55.385735078850736,78.36257309666594
2023-03-09 12:10:00,2023-03-09 13:15:00,long,1817.6499999999999,1819.42,0.147,22.05,100671.4,65.0,5M_DC,62.90341248907324,78.33739347594108,92.03263563235066
2023-03-13 09:45:00,2023-03-13 10:50:00,short,1874.13,1885.23,-1.14,-171.0,100500.4,65.0,SL_or_BE,77.51616232015219,37.73271765660427,91.75994863545635
2023-03-14 17:10:00,2023-03-14 18:10:00,short,1907.23,1904.1,0.283,42.45,100542.85,60.0,5M_GC,74.06116918294833,63.56955776827632,15.715171736509829
2023-03-15 00:20:00,2023-03-15 02:15:00,short,1904.0800000000002,1901.44,0.234,35.1,100577.95,115.0,5M_GC,64.45721124411101,34.564339526832555,15.20615991046075
2023-03-15 03:25:00,2023-03-15 05:25:00,short,1903.02,1903.71,-0.099,-14.85,100563.1,120.0,5M_GC,45.515026097565986,36.97344221254158,17.89473684116617
2023-03-16 00:00:00,2023-03-16 03:05:00,short,1918.5800000000002,1910.67,0.761,114.15,100677.25,185.0,5M_GC,62.308735231333905,23.698395278853315,9.552438439419541
2023-03-20 14:30:00,2023-03-20 14:55:00,short,1984.67,1974.43,0.994,149.1,100826.35,25.0,5M_GC,77.61942542017606,21.39457603192301,8.363463987603954
